regulator	target	bootstraps
YBX1	LRP2BP	-18.0
CTCF	CENPM	-18.0
MAF	ZEB2	18.0
TCFL5	CCNE2	18.0
CTCF	WDR34	-18.0
GATA2	SEMA5A	18.0
MYCN	UBE2V2	18.0
IRF6	WSCD1	-18.0
CTCF	C4orf32	18.0
CTCF	CALU	-18.0
LHX1	FAM83D	-18.0
FOXF1	RUNDC3B	18.0
MYPOP	NUDT5	18.0
FOXA1	GPRASP1	18.0
MYCN	DCAF13	18.0
E2F6	NCAPD2	18.0
IRF6	MAOA	-18.0
E2F6	FBXO5	18.0
GATA2	YARS	-18.0
GATA4	TLR4	18.0
GATA3	FRMD6	18.0
TCFL5	CCNF	18.0
FOXA1	ENY2	-18.0
MYCN	H2AFX	18.0
NFYB	ASF1B	18.0
TCFL5	MCM6	18.0
E2F6	TCF19	18.0
IRF6	ILF2	18.0
CTCF	TMEM37	18.0
MAF	CLEC1A	18.0
GATA3	LUZP2	18.0
CTCF	CACYBP	-18.0
MAF	FAH	18.0
IRF6	GHR	-18.0
PITX2	GPSM2	18.0
GATA2	SLC16A12	18.0
ARNTL	DNALI1	-18.0
E2F6	ECT2	18.0
HOXB3	MRPL51	18.0
FOXP1	DESI2	18.0
MAF	RASGRF2	18.0
BHLHE40	KCNMB1	18.0
MNT	CARF	18.0
GATA4	TACC1	18.0
MYPOP	FAM83D	18.0
E2F6	CCNE2	18.0
MECP2	RBM38	-18.0
YBX1	LPAR2	18.0
CTCF	DTYMK	-18.0
RELB	SLC50A1	-18.0
RUNX2	CENPN	-18.0
CTCF	SCGB1D2	18.0
SOX11	VWF	18.0
FOXA1	PCDHGA2	18.0
ZNF148	MMP11	18.0
HOXD4	FAM13C	18.0
TCFL5	DSN1	18.0
REL	RELB	18.0
MAF	PLXNA4	18.0
TAL1	LTB	18.0
HOXB3	GAPDH	18.0
GATA3	FILIP1L	18.0
MAF	GLDN	18.0
GATA3	PRKG1	18.0
GATA4	APPL2	18.0
GATA5	LY6E	-18.0
ARNTL	TRIM11	18.0
CTCF	PRX	18.0
CTCF	VWF	18.0
POU5F1B	IGF2BP3	18.0
HOXB3	MLF2	18.0
SOX6	ZFP69B	18.0
CTCF	FGF2	18.0
ARNTL	CCT5	18.0
E2F6	ZNF367	18.0
HOXA6	BAK1	-18.0
IRF6	CCT3	18.0
MAF	NEGR1	18.0
TFAP2A	C14orf80	18.0
PPARG	NATD1	18.0
E2F4	LIN9	18.0
IRF6	CAT	-18.0
CTCF	MGLL	18.0
MZF1	PAM16	-18.0
YBX1	RHBDL2	18.0
MAF	AADAC	18.0
SP4	PLAC9	18.0
HOXD4	SNX22	-18.0
ZNF202	GIPR	18.0
TP53	AFP	18.0
E4F1	CYR61	18.0
E2F6	WDHD1	18.0
YBX1	ATP1B2	-18.0
AHR	CALU	-18.0
MZF1	DUS1L	-18.0
TGIF2	NEK5	18.0
SP4	LUZP2	18.0
MAF	PPARG	18.0
HIVEP2	CTXN1	18.0
GATA3	PHLDB2	18.0
YBX1	NUDT5	18.0
CREB3L1	CHPF	18.0
MAF	ABCD2	18.0
SOX6	XRCC2	18.0
NR4A2	PMEL	-18.0
GATA4	ABLIM3	18.0
GATA3	PDE1C	18.0
MAF	BHMT2	18.0
ELF1	PSMC3IP	-18.0
PKNOX1	DLX5	18.0
GATA3	COLEC12	18.0
PPARG	PDK4	18.0
ONECUT1	SLC39A6	18.0
TP53	ABCC8	18.0
FOXF1	ST6GALNAC1	18.0
MAF	EIF4E3	18.0
SP1	PMAIP1	-18.0
MYCN	ENY2	18.0
GATA2	RNFT2	-18.0
FOXF1	FAAP24	-18.0
GATA4	ANK2	18.0
SIM1	SLC2A1	18.0
MAF	DMGDH	18.0
ZSCAN4	SLC25A39	-18.0
KLF5	PGP	18.0
JDP2	KIAA1644	18.0
MNT	TLL2	-18.0
THRA	SOX8	18.0
SP1	PLAC9	18.0
GATA3	C16orf45	18.0
GATA4	MKI67	-18.0
CREB3L1	MAGED1	18.0
SP1	MMRN2	18.0
GATA2	ART3	-18.0
CTCF	HPRT1	-18.0
GATA5	CHL1	18.0
ZNF202	CCT6A	-18.0
KLF7	ROPN1	18.0
GATA4	RAB30	18.0
TWIST1	SIX3	18.0
GATA2	PLAT	18.0
MAF	SEMA3C	18.0
GATA4	FGF14	18.0
GATA2	IL33	18.0
GATA4	LRRK2	18.0
PLAGL1	ASPHD1	18.0
MAF	E2F3	-18.0
SP4	MYO1G	-18.0
GATA2	ENPP2	18.0
GATA5	MAGI1	18.0
MYPOP	MAML3	-18.0
MAX	IGSF1	18.0
E2F6	RNF182	18.0
PRDM1	HIST2H4A	-18.0
GATA5	GBP1	-18.0
LHX1	DLG2	18.0
SP4	RXFP1	-18.0
SP4	SPOCK2	-18.0
ZIC2	PHLDA2	18.0
SP4	STX11	-18.0
E2F5	CCDC168	18.0
GATA2	NEDD9	18.0
ZSCAN16	SELL	18.0
MYPOP	PARK2	-18.0
ATF6	MAGEC2	18.0
MAF	C8orf34	18.0
BATF	PCDHA1	18.0
ZBTB7B	CERS1	18.0
LHX1	PMAIP1	-18.0
GATA4	ZNF385D	18.0
EHF	HEPHL1	18.0
EHF	SLIT2	-18.0
EHF	PI3	18.0
GATA2	KIAA1549L	-18.0
MAF	SAPCD2	-17.0
PITX2	NDC80	17.0
IRF9	CXCL10	17.0
GATA4	CEP120	17.0
CTCF	FAM13B	17.0
CTCF	ESCO2	-17.0
MYCN	BAX	17.0
GATA4	SYNE1	17.0
PITX2	ZNF695	17.0
CTCF	AQP1	17.0
GATA4	ANTXR2	17.0
PITX2	FAM72A	17.0
GATA4	NOVA1	17.0
MYCN	DDN	17.0
MAF	SYNPO	17.0
MAF	PSRC1	-17.0
NFYB	SKA1	17.0
NFYB	TROAP	17.0
CTCF	CKAP2L	-17.0
CTCF	CLSPN	-17.0
ARNTL	ERG	-17.0
CTCF	MLXIPL	17.0
PITX2	NUSAP1	17.0
CTCF	OXTR	17.0
PITX2	ADAM33	-17.0
CTCF	ADAMTS14	-17.0
CTCF	CDCA4	-17.0
CTCF	TBCE	-17.0
PITX2	AURKA	17.0
GATA4	LHFP	17.0
CTCF	SCN3A	17.0
CTCF	HMGA1	-17.0
CTCF	XPO5	-17.0
YBX1	PSRC1	17.0
ARNTL	TICRR	17.0
PITX2	KIF18A	17.0
CTCF	EBF3	17.0
CTCF	IMPA2	-17.0
PLAGL1	BAX	17.0
CTCF	E2F2	-17.0
GATA4	FOXN3	17.0
CTCF	KLHDC1	17.0
PLAGL1	RGS19	17.0
MYCN	DNPH1	17.0
CTCF	MAP3K20	17.0
TCF3	NCAPD2	-17.0
PITX2	KLF2	-17.0
NFYB	KIF11	17.0
FOXA1	CTPS1	-17.0
