regulator	target	bootstraps
HOXB3	EIF4EBP1	14.0
MECP2	CLMP	14.0
ARNTL	SBSN	14.0
MAFG	ESCO2	14.0
GATA4	AGMO	14.0
LHX1	SLC19A3	14.0
SP4	EFCAB1	14.0
ARID3A	CAPS2	14.0
POU5F1B	EFCAB12	-14.0
MYCN	TCF3	14.0
GATA4	MRPL15	-14.0
TCF3	NOP2	-14.0
GATA5	ARPC1B	-14.0
GATA5	DST	14.0
YBX1	IER5L	14.0
YBX1	KAT2B	-14.0
PLAGL1	B4GALNT4	14.0
ATF3	ALPP	-14.0
STAT2	CXCL10	14.0
REL	CMC2	14.0
SP4	LHFP	14.0
ZIC2	GRASP	14.0
TP53	DHRS2	14.0
GATA5	HOXA5	14.0
MAX	TMEM178A	14.0
YBX1	RBBP8NL	14.0
REL	HLA-A	14.0
FOXD1	CSAG3	14.0
YBX1	AOX1	-14.0
HOXB3	LRRC61	14.0
SOX10	CPB1	14.0
DLX3	CAV1	14.0
E2F6	NMU	14.0
NR2C1	TTC13	14.0
CTCF	RHEBL1	-14.0
HOXD4	SLC39A4	-14.0
CTCF	COMTD1	-14.0
E4F1	MRPS17	-14.0
MYCN	AMY2B	-14.0
GATA4	DNAH7	14.0
CTCF	BMP3	14.0
ZNF263	AKR7A3	14.0
MEOX1	KLRG2	14.0
ZEB1	UPK2	14.0
NFE2L1	PARPBP	14.0
GATA5	TTBK2	14.0
SOX17	MMP12	14.0
LHX1	CPED1	14.0
CTCF	CLPSL1	-14.0
LHX1	COA6	-14.0
YBX1	PGLYRP4	14.0
TCFL5	PLA2G4D	14.0
ETV3	MYO19	-14.0
NR2F1	ELMOD3	14.0
LHX1	TMEM135	14.0
YBX1	FRMPD2	-14.0
CTCF	NUP210	-14.0
STAT1	LBP	14.0
SOX10	GRPR	14.0
IRF6	PAQR6	14.0
STAT2	PARP12	14.0
E2F6	HTR1D	14.0
TCFL5	SLC16A10	14.0
SOX6	KIF24	14.0
ONECUT2	CCDC3	14.0
KLF5	S100A11	14.0
IRF6	ZIC4	14.0
LHX1	PLPP4	-14.0
REST	ATP2B3	14.0
BARX2	RMDN2	14.0
GATA4	LAPTM4B	-14.0
SP1	ESAM	14.0
CTCF	ADAMTS18	14.0
POU5F1B	SMC4	14.0
POU5F1B	HELLS	14.0
CTCF	PGK1	-14.0
HOXB3	LGALS12	-14.0
ARNTL	SHMT2	14.0
GATA5	GLI3	14.0
ZNF148	C6orf15	14.0
GATA3	JMJD4	-14.0
MYPOP	DUSP6	-14.0
MEF2C	CRABP2	-14.0
SOX10	FYCO1	14.0
ONECUT1	INPP5J	14.0
ARNTL	NGFR	-14.0
ARNTL	SPDL1	14.0
GATA3	SLCO5A1	-14.0
CTCF	PKD1L1	14.0
PROX1	TUBB3	14.0
POU2F3	NKX1-2	14.0
MAX	LYPD6	14.0
RELB	CX3CL1	14.0
GATA5	TMTC1	14.0
TCF4	TDRKH	14.0
AHR	STC2	14.0
ARNTL	MSANTD3	14.0
ATF6	DGAT2	-14.0
E2F6	MAL2	14.0
CTCF	PSMG3	-14.0
GATA3	SLC16A12	14.0
GATA4	PARD3B	14.0
LHX1	COBLL1	14.0
E2F6	NSD2	14.0
SIM1	LBX2	14.0
MAX	ST8SIA6	14.0
MAF	THBS4	14.0
MAX	GFRA1	14.0
LHX1	CRIM1	14.0
FOXQ1	CLDN11	-14.0
STAT5B	HOXC10	14.0
CTCF	PECAM1	14.0
E2F6	ACAT2	14.0
GATA2	TMEM178A	14.0
E2F4	CBLN1	-14.0
GATA2	PRSS3	-14.0
TFDP1	PLCH2	-14.0
RARB	CAMK2B	14.0
TP63	DSEL	-14.0
SP1	SMIM3	14.0
YBX1	MRPL51	14.0
GATA4	DIXDC1	14.0
CREM	KRT6B	14.0
LHX1	ZFPM2	14.0
CTCF	PIM2	-14.0
EGR1	F12	-14.0
ZNF274	PCDH17	14.0
SMAD1	SERPINF1	14.0
ZBTB7B	DPF1	14.0
IRF1	MYBPC2	14.0
LHX1	AGMO	14.0
CTCF	ALDH3A1	14.0
MAX	TRPC6	14.0
GATA3	GEN1	-14.0
CTCF	CCT5	-14.0
HIVEP2	KRT6B	14.0
DLX3	LAMP3	-14.0
GATA5	DNAJC12	14.0
GATA2	KCNQ5	-14.0
EGR1	ASCL2	-14.0
TWIST1	MUC5B	14.0
ZSCAN4	ZNF154	14.0
YBX1	HNMT	-14.0
TCFL5	MANEAL	14.0
MAX	CFAP57	14.0
ZEB1	FUT3	14.0
NFE2L1	XPO5	14.0
SP4	DNAJC6	-14.0
SP4	NEGR1	14.0
SP1	KANK2	14.0
LHX1	TMSB15B	-14.0
SP4	IL12RB1	-14.0
CREB3L1	TMEM151A	14.0
GATA2	RAB27B	14.0
MAF	PTS	-14.0
E4F1	IL6	14.0
GATA2	PTPRM	14.0
GATA4	MAGI1	14.0
FOXD1	CSAG1	14.0
MAF	HIST1H4H	-14.0
MAFG	GSN	-14.0
YBX1	ACTA2	-14.0
EHF	ANKRD22	14.0
SP4	DLG2	14.0
GATA4	TMEM255A	14.0
GATA3	SULF1	14.0
GATA2	LONRF2	14.0
TFDP1	FADS2	14.0
ZSCAN16	SYTL5	-14.0
AHR	TTLL4	-14.0
AHR	CDK15	-14.0
GATA3	TMEM246	14.0
TCF7L2	COL13A1	14.0
AHR	PIM2	14.0
SP1	CEP85	-14.0
MYPOP	DMXL1	-14.0
ONECUT1	USP18	-14.0
MYPOP	VSIG2	-14.0
GATA5	PRSS22	-14.0
SP4	RHBDL2	-14.0
GATA4	TMEM40	-14.0
GATA4	HIST1H2BG	-14.0
MNT	STC2	14.0
MAF	PPM1E	-14.0
E2F3	CBARP	14.0
CREB1	HOXB9	14.0
MSC	BATF2	14.0
ATF6	ISL2	14.0
TP63	FAM84A	14.0
NPAS2	RGS20	14.0
MAF	SYCE2	-14.0
ETV1	NT5DC2	14.0
YBX1	PER2	-14.0
MAX	CSRNP3	14.0
JUNB	PSAPL1	-14.0
MYPOP	EDARADD	-14.0
MAF	PTPRQ	14.0
SOX9	KRT75	14.0
HOXD9	DLX6	14.0
E2F5	C1orf74	14.0
AHR	TMEM65	-14.0
ESRRA	FUT3	14.0
TWIST1	TAS1R3	14.0
SP3	CHML	14.0
SP1	CKAP2	-14.0
LHX1	ITSN1	14.0
SIX4	SLC25A53	14.0
NR1H2	SMPX	14.0
GATA2	HIST1H4E	-14.0
TFEB	SLC6A8	14.0
GATA3	SCN2A	14.0
MYPOP	PRDM5	-14.0
YBX1	PODXL2	14.0
MSC	GNGT1	14.0
GATA4	FAM83A	-14.0
DLX3	MUCL1	14.0
EHF	THBS4	-14.0
POU5F1B	NR4A1	-14.0
EHF	PRX	-14.0
MAFG	TAP2	14.0
EHF	OAS1	14.0
MAX	SULF1	-14.0
LHX1	SYCE2	-14.0
FOXG1	XAGE2	-14.0
MAX	CAGE1	-14.0
NFE2L1	ILDR2	14.0
YBX1	HN1	13.0
PITX2	NUF2	13.0
ARNTL	CYBRD1	-13.0
PITX2	RAI2	-13.0
FOXA1	PEAR1	13.0
FOXA1	SVEP1	13.0
NFYB	KIF18B	13.0
MYCN	TIGD5	13.0
NFYB	CBX7	-13.0
YBX1	BCL2L12	13.0
PITX2	CDCA5	13.0
SRF	CNN1	13.0
PITX2	KIF18B	13.0
NFYB	FAM64A	13.0
PITX2	ORC6	13.0
NFYB	AURKA	13.0
CTCF	CROT	13.0
CTCF	MATN2	13.0
PITX2	ATAD2	13.0
TCFL5	FEN1	13.0
HOXB3	SERINC1	-13.0
PLAGL1	RRP1	13.0
GATA2	ABLIM3	13.0
TCFL5	CDC7	13.0
NFYB	UBE2T	13.0
TCFL5	PCNA	13.0
HOXC8	ACKR1	13.0
PLAGL1	SH3BP1	13.0
MAF	POLQ	-13.0
CTCF	KIF5C	13.0
MAF	ADRA2A	13.0
NFYC	DDX39A	13.0
E2F4	VSTM4	-13.0
MYCN	AUNIP	13.0
PITX2	RFC4	13.0
PRDM1	ABCA8	13.0
PITX2	SHCBP1	13.0
PITX2	E2F5	13.0
REL	RHBDF2	13.0
PPARG	GYG2	13.0
ARNTL	PLA2R1	-13.0
CTCF	SMC4	-13.0
POU2F3	KIF26B	13.0
GATA3	JAM3	13.0
HOXD4	PREX2	13.0
PLAGL1	MIIP	13.0
STAT1	MRGPRF	13.0
TBX1	ZNF483	13.0
CTCF	PPP4C	-13.0
PLAGL1	FBXL19	13.0
BHLHE40	SCN4B	13.0
MAFG	LRP8	13.0
IRF9	CD72	13.0
PITX2	PRC1	13.0
CTCF	INTS7	-13.0
MAF	ADRB2	13.0
CTCF	MCM4	-13.0
TCF3	SHE	13.0
ARNTL	PRDX4	13.0
ZEB1	ACKR3	-13.0
GATA4	PAPPA2	13.0
HOXB3	RPUSD1	13.0
POU2F3	CFL2	-13.0
PLAGL1	PPP1R35	13.0
IRF6	FDPS	13.0
TCF3	ADGRA2	13.0
PITX2	CENPO	13.0
CTCF	TBC1D9	13.0
NFYB	CCNDBP1	-13.0
NFYB	CHAF1A	13.0
GATA3	ABLIM3	13.0
MYCN	CCT3	13.0
MAF	FABP4	13.0
POU5F1B	NEIL3	13.0
CTCF	MASP1	13.0
ETV1	GNG11	-13.0
POU5F1B	CADM2	-13.0
CTCF	FBXL5	13.0
MAF	SNED1	13.0
IRF6	APBB2	-13.0
MECP2	IL6ST	13.0
ETV5	FBXO45	-13.0
HLF	HCAR3	13.0
MYCN	FLAD1	13.0
MYCN	RTKN	13.0
HOXA2	LAG3	-13.0
MYCN	MRPL13	13.0
MZF1	SLC25A22	-13.0
MAF	CFD	13.0
CTCF	PTPRQ	13.0
NR2C2	DNA2	13.0
FOXA1	AMIGO2	13.0
MYCN	F12	13.0
FOXA2	AP1S1	13.0
IRF9	PARP12	13.0
SOX10	CLIC5	13.0
YBX1	KIF4A	13.0
HOXB3	LBHD1	13.0
MNT	TCP11L2	13.0
KLF5	CDK5	13.0
ZNF202	GGCT	-13.0
PROX1	DTL	13.0
FOXA1	PCDHGA3	13.0
ARNTL	CENPA	13.0
ARNTL	CDC6	13.0
GATA5	MX1	-13.0
HOXB3	PUSL1	13.0
TCF3	DUSP1	13.0
ZEB1	BUB1B	13.0
FOXF1	SPRY1	13.0
MYCN	TEAD4	13.0
IRF6	RTKN	13.0
MAF	BAIAP2L1	-13.0
MAF	CDK15	13.0
GATA4	PTGER3	13.0
CTCF	SPX	13.0
IRF6	TLN2	-13.0
MYCN	UCK2	13.0
IRF9	HLA-F	13.0
NFE2L1	E2F7	13.0
CTCF	ACADSB	13.0
IRF5	HSD17B11	13.0
FOXA1	EDA2R	13.0
CTCF	CNRIP1	13.0
AHR	RELL2	13.0
BARX2	ADAM8	-13.0
GATA2	ABI3BP	13.0
E2F6	ATAD2	13.0
GATA4	GULP1	13.0
ARNTL	KIF20A	13.0
HOXC8	CCNF	-13.0
HOXC8	IRAK1	-13.0
PITX2	SMC1B	13.0
MAF	LRRK2	13.0
GATA2	SCN3B	13.0
NFYB	KIF22	13.0
STAT1	RASAL1	-13.0
GATA5	HLA-B	-13.0
SP4	DACH1	13.0
FOS	CHAC2	13.0
GATA2	MAML3	13.0
GATA5	TYMP	-13.0
STAT1	MRVI1	13.0
CTCF	RSPO3	13.0
MNT	PLCH1	13.0
PITX2	BTG2	-13.0
ARNTL	ZNF442	-13.0
TGIF2	ZBTB4	13.0
HOXD10	SMG5	-13.0
SMAD1	ARHGEF40	13.0
RFX3	ARHGAP11B	-13.0
IRF9	KLHDC7B	13.0
POU2F3	MCOLN2	13.0
TAL1	ITGB7	13.0
RFX7	SGK2	13.0
HIC1	SCRIB	13.0
MECP2	KIF22	-13.0
ZEB1	MMD	-13.0
POU5F1B	OLR1	13.0
HLF	ABHD6	13.0
FOXP1	ZNF124	13.0
PPARG	CCDC3	13.0
TCFL5	PGAM5	13.0
MYCN	ACTL8	13.0
FOXA1	JTB	-13.0
SOX6	OPN3	13.0
MAFG	MELK	13.0
TGIF2	PIF1	-13.0
MECP2	SIDT2	13.0
NFE2L1	APOBEC3B	13.0
CEBPG	PPFIA3	-13.0
NR2F1	SLC2A4	13.0
HOXD4	TSPAN33	-13.0
IRF9	MB21D1	13.0
CTCF	RASSF7	-13.0
YBX1	LIMD2	13.0
NR2C1	LIN9	13.0
MYCN	PDCD2L	13.0
CREB3L1	PYCR1	13.0
CTCF	MCM3	-13.0
MAF	GLI3	13.0
FOS	TEPP	-13.0
REL	SMCO4	13.0
TCFL5	PARP1	13.0
NR2F1	HSPB6	13.0
IRF6	NECTIN4	13.0
MYCN	ANKRD13B	13.0
GATA5	HLA-A	-13.0
CTCF	HDAC2	-13.0
LHX1	PTGER3	13.0
ZNF263	SCGB2A2	13.0
HIC1	PYCRL	13.0
MAF	TUBB8	-13.0
YBX1	PRR19	13.0
GATA3	COL14A1	13.0
ALX1	SLC4A7	13.0
MAF	UMODL1	-13.0
JUND	MUC16	13.0
YBX1	TAS2R3	-13.0
POU5F1B	INHBA	13.0
GATA3	CCNA2	-13.0
CTCF	PER2	13.0
IRF6	C2CD4D	13.0
CTCF	TTBK2	13.0
NFKB1	TNF	13.0
RFX3	PNMT	13.0
MAFG	TICRR	13.0
ARNTL	KLHDC1	-13.0
POU5F1B	HIST1H2BJ	13.0
HOXC8	FAM13C	13.0
IRF6	SCNM1	13.0
ZIC2	SLC22A18AS	13.0
TFAP2A	GIPC1	13.0
PPARD	AGR3	13.0
CTCF	BDKRB2	13.0
HOXA6	CAPS2	13.0
FOXA2	RUVBL1	13.0
GATA3	TSHZ2	13.0
CTCF	VWCE	13.0
CTCF	CAPS	-13.0
ZEB1	TMEM79	13.0
E2F4	HYLS1	13.0
TP53	PLCH2	13.0
HOXD4	ADAMTS5	13.0
FOXA1	ZNF154	13.0
SOX10	CD36	13.0
GATA2	MYOCD	13.0
LHX1	PGM5	13.0
ZSCAN4	TLCD1	-13.0
HIVEP2	RAB25	13.0
SOX6	CCDC138	13.0
ZIC2	RCN3	13.0
YBX1	STARD8	-13.0
ZNF148	FN1	13.0
SOX6	ANG	-13.0
IRF6	TIMM17A	13.0
MAF	PODN	13.0
FOXA1	OVCH2	13.0
LHX1	SYNE1	13.0
ELF1	ARHGAP22	-13.0
MYCN	NUTF2	13.0
HLF	RNF125	13.0
YBX1	OXTR	-13.0
ARNTL	HELLS	13.0
PPARG	RETSAT	13.0
CTCF	KCNQ4	-13.0
TCF3	EDA2R	13.0
CTCF	SULF1	-13.0
GATA2	HNMT	13.0
NFE2L1	DNMBP	-13.0
POU5F1B	JAKMIP1	13.0
CTCF	PKM	-13.0
IRF9	RFX5	13.0
STAT5B	PSME2	13.0
ETV3	CHST6	-13.0
ARNTL	CAPN8	-13.0
MECP2	UQCC2	-13.0
CTCF	SMIM3	13.0
NFYC	WDR19	-13.0
SP4	AK5	13.0
MAF	MYOCD	13.0
HOXD4	PCDHGA4	13.0
PITX2	F11R	13.0
GATA3	NCAPG2	-13.0
SOX10	MYCT1	13.0
SMAD1	PROS1	13.0
ZNF202	IL11RA	13.0
CTCF	INHBA	-13.0
ATF6	INA	13.0
SREBF1	ALPPL2	13.0
YBX1	TMEM246	-13.0
ZIC2	KIAA1524	-13.0
BATF3	IMPDH1	13.0
CTCF	SYNM	13.0
FOXL2	FOXC2	13.0
NFE2L2	TMEM54	13.0
MNT	TRIM47	-13.0
TGIF2	KRT222	13.0
KLF4	CLIC3	13.0
KLF12	SMOC2	-13.0
MYCN	SCRIB	13.0
GATA3	FLRT2	13.0
HOXC8	MTURN	13.0
TP53	SEC14L2	13.0
ETV1	F8	-13.0
GATA3	DEPDC1	-13.0
POU2F3	PDIA4	13.0
ARNTL	C8orf76	13.0
NFE2L2	A2ML1	13.0
ATF3	CALHM3	-13.0
ETV7	IKBKE	13.0
MAX	PDE7B	13.0
TP53	HOXA2	13.0
HOXB3	CACNA1B	13.0
SOX17	FAM198B	-13.0
RUNX2	NUTF2	-13.0
IRF6	HOXA2	-13.0
POU5F1B	HIST1H2BE	13.0
STAT2	CXCL11	13.0
TBX1	NEK5	13.0
CEBPG	FAM131C	-13.0
NR4A2	KRTCAP2	13.0
HLF	GLP2R	13.0
IRF2	TMEM220	13.0
TCF4	SPTBN2	13.0
MAF	DIAPH3	-13.0
IRF2	SEC61G	-13.0
MYCN	RPP25	13.0
NR4A2	ALDH1B1	13.0
PPARD	FMO5	13.0
RUNX2	CT83	-13.0
HINFP	COL5A1	-13.0
ARNTL	PSMG3	13.0
SOX17	HTR1D	13.0
GATA2	ZFPM2	13.0
KLF2	PSME2	13.0
MAX	MMRN2	13.0
HOXB5	ALDH6A1	13.0
PLAGL1	CDH15	13.0
FOXF1	TPPP	13.0
MAF	ALYREF	-13.0
NR4A2	CYC1	13.0
GATA5	TSLP	13.0
GATA2	TP53BP2	-13.0
NFKB1	SCRG1	-13.0
GATA3	DIXDC1	13.0
ZIC2	CHI3L1	13.0
HOXD4	RPUSD3	-13.0
GATA2	ERBB4	13.0
GATA2	NRXN3	13.0
FOXJ1	BUB1B	13.0
ZSCAN16	ZBED2	13.0
HIVEP2	HR	13.0
SOX10	GBP5	-13.0
HOXB5	UNC5C	13.0
FOXF1	RHOB	13.0
GATA4	ERG	13.0
NFAT5	ATP1A3	13.0
MYPOP	CCL7	13.0
IRF2	S100A7	-13.0
MYCN	BAG2	13.0
MYPOP	PSMD14	13.0
SOX17	CDK16	13.0
MAF	MEDAG	13.0
E2F3	MURC	13.0
GATA2	MKI67	-13.0
HOXD3	XKR9	13.0
ETV1	KLHL31	-13.0
POU5F1B	HIST1H2AG	13.0
E2F6	BRCA2	13.0
GABPA	CFAP47	13.0
MEOX1	WNT6	13.0
SP1	LIMA1	13.0
KLF2	CAMK2B	-13.0
MYPOP	EN1	13.0
IRF2	STX1A	-13.0
MAX	CIT	-13.0
MAX	RELN	13.0
SP1	OCA2	-13.0
ZNF232	GPLD1	13.0
MYCN	HYAL3	13.0
PPARG	PPP1R1A	13.0
YBX1	CENPF	13.0
E2F6	MYO3A	13.0
PRDM1	HIST1H4I	-13.0
CTCF	GEN1	-13.0
YBX1	DNMT3A	13.0
SOX6	NKAIN1	13.0
MAF	APBA2	-13.0
YBX1	BRI3BP	13.0
E2F5	TFDP1	13.0
TP53	INPP5J	13.0
SREBF1	ALPP	13.0
GATA3	ALDH1A2	13.0
LHX1	ANTXR2	13.0
NFATC1	DPYSL5	-13.0
SP4	FAM196B	13.0
PKNOX1	DLX6	13.0
DLX3	DPT	13.0
SMAD3	PTPRN	13.0
NPAS2	GATA4	13.0
SP3	SYT13	13.0
WT1	VAX1	13.0
ZIC2	HIST1H1C	13.0
MAX	NEIL3	-13.0
ZEB1	SPRR1B	13.0
SP1	MMP28	13.0
SP1	TSC22D3	13.0
GATA5	RHBDL2	-13.0
GATA5	PLXNA4	13.0
GATA3	LAMA2	13.0
MYPOP	AMOTL2	-13.0
NR1H2	CSAG3	13.0
SOX17	CWH43	13.0
SREBF1	SPDYC	13.0
MAF	HCN1	13.0
TWIST1	C2CD4D	13.0
NFE2L2	ARTN	13.0
SP4	FAM172A	13.0
ETV7	CCDC78	13.0
SP1	MSX2	13.0
GATA2	PHYHIP	13.0
LHX1	ASPM	-13.0
YBX1	DEPDC1	13.0
MAX	ARSG	13.0
ARNTL	SLC1A7	-13.0
SP1	BDKRB2	13.0
MAF	SLC27A2	13.0
HOXB7	TRDN	13.0
E2F3	COCH	13.0
ATF6	C12orf56	13.0
NFAT5	WARS	13.0
ATOH8	RDH16	13.0
SP4	CCL28	13.0
TFAP2C	QRFPR	-13.0
MAF	LAMA3	13.0
POU5F1B	MMP7	13.0
SP4	DRC3	13.0
ATF6	SLC10A4	13.0
EGR3	C1orf74	-13.0
MAX	THSD4	13.0
REST	COL11A2	13.0
MYPOP	PFKP	13.0
TWIST1	SPDYC	13.0
MNT	FAM214A	13.0
GATA3	E2F7	-13.0
LHX6	GBP1	13.0
NR2F6	NAT1	13.0
TWIST1	FAM90A1	13.0
SOX11	MMP12	-13.0
MAF	ACADL	13.0
MAX	CACYBP	-13.0
SP4	PLAT	13.0
SOX10	SCN2A	13.0
MYPOP	GRIN2D	13.0
SOX17	CT83	13.0
GATA5	LMO1	-13.0
POU5F1B	OAS1	13.0
YBX1	COL22A1	13.0
HNF4G	CHRM3	-13.0
E2F6	INA	13.0
DLX3	FMO2	13.0
FOXQ1	CAV2	13.0
MAF	SGCA	13.0
E2F1	SLC52A1	-13.0
GLI2	BCL2L14	13.0
SP1	WLS	13.0
SMAD1	ACSM1	13.0
SMAD3	COL9A1	13.0
GATA2	GULP1	13.0
YBX1	MT1G	13.0
LHX1	SCN2A	13.0
GATA5	SAMD5	13.0
POU5F1B	HIST2H4A	13.0
AHR	IMPA2	13.0
SP1	MAML3	13.0
KLF2	RDH10	13.0
POU5F1B	HIST3H2BB	13.0
TCF7L1	RDH10	-13.0
AHR	HIST1H2AE	13.0
FOXQ1	PRTFDC1	-13.0
SP1	ZCCHC5	13.0
ZBTB7B	COL26A1	13.0
MYPOP	PGK1	13.0
GATA4	CPEB3	13.0
MNT	PLAC9	-13.0
SP1	TRIM47	-13.0
CTCF	OLAH	-13.0
JUNB	KRT9	-13.0
MNT	CFAP57	13.0
SP1	RANBP17	-13.0
GATA2	IGSF1	13.0
AHR	NPB	13.0
SP4	CFAP57	13.0
SOX10	ZCCHC5	13.0
LHX1	MMP10	-13.0
LHX6	ANKRD22	13.0
SP1	CCNA1	-13.0
POU4F1	CLDN6	13.0
ZSCAN16	ADA	13.0
GATA4	RNF222	-13.0
MYPOP	MAGI1	-13.0
HOXB2	LRRC55	13.0
IRF7	GDF5	13.0
SP1	ENKUR	-13.0
GATA2	MMP20	-13.0
CTCF	CAV1	12.0
YBX1	SH2B2	12.0
YBX1	MFSD12	12.0
GATA3	SLIT2	12.0
PITX2	HJURP	12.0
E2F4	SLC17A7	-12.0
POU2F3	CDCA2	12.0
PITX2	CBX7	-12.0
GATA3	AK5	12.0
ZIC2	GALK1	12.0
MYCN	KPNA2	12.0
FOXA1	PDE2A	12.0
MYCN	TRABD	12.0
MYCN	PLK1	12.0
PITX2	KNTC1	12.0
MAF	SCN3B	12.0
MYCN	ZNF598	12.0
HLF	HCAR2	12.0
PITX2	TSPAN7	-12.0
ARNTL	LHX6	-12.0
YBX1	CDT1	12.0
IRF6	RGAG4	-12.0
MYCN	WDR62	12.0
ZEB1	TBX15	-12.0
MYCN	ZC3H6	-12.0
NFYB	SPAG5	12.0
NFE2L1	MAP4K1	12.0
HOXB3	CREBRF	-12.0
PITX2	DSCC1	12.0
PITX2	CHEK1	12.0
IRF6	COL4A3BP	-12.0
PITX2	BEND3	12.0
CTCF	SLC6A11	-12.0
TCFL5	TYMS	12.0
PITX2	JAM2	-12.0
FOXA1	LMOD1	12.0
NFYB	TACC3	12.0
FOXA1	KCND3	12.0
ELF1	IL6ST	12.0
YBX1	CARF	-12.0
HOXB3	SNRPB	12.0
MYCN	EIF5A	12.0
FOXA1	ECM2	12.0
HOXC8	KL	12.0
PITX2	DNA2	12.0
PROX1	CEP55	12.0
HOXB3	JMJD4	12.0
PROX1	BUB1	12.0
STAT1	MAD2L1	-12.0
TCF3	AKAP12	12.0
HOXB3	FAM136A	12.0
PLAGL1	ZNF598	12.0
NFYB	TMEM206	12.0
HOXC8	SLC17A7	12.0
NFYB	PCDHGB7	-12.0
MAF	LDB2	12.0
IRF6	C1orf74	12.0
TCF3	PGAM5	-12.0
IRF6	GIPC1	12.0
POU5F1B	PRR11	12.0
PROX1	EXO1	12.0
NFYB	KIF18A	12.0
ARNTL	ARHGEF6	-12.0
E2F3	STMN1	12.0
PPARG	KIF14	-12.0
POU5F1B	CKAP2	12.0
KLF5	CFL1	12.0
ARNTL	CCDC69	-12.0
NR2F1	PEAR1	12.0
MECP2	PREX2	12.0
FOXA1	FREM1	12.0
NFYB	MEMO1	12.0
PLAGL1	PPAN	12.0
FOXA1	H2AFZ	-12.0
BARX2	TACC3	-12.0
PBX2	GNG11	12.0
E4F1	GALNT15	12.0
REL	ARPC1B	12.0
NFE2L1	MMP12	12.0
MYCN	RAN	12.0
CTCF	AFF1	12.0
RUNX2	PCLAF	-12.0
KLF12	ZNF423	-12.0
PITX2	A2ML1	12.0
KLF2	ITGB7	12.0
MECP2	COL4A3BP	12.0
PITX2	THSD1	-12.0
FOXF1	SPARCL1	12.0
PITX2	ARHGEF40	-12.0
BHLHE40	IL11RA	12.0
MYCN	POP1	12.0
TCF3	NDNF	12.0
FOXA1	CMC2	-12.0
MYCN	EIF5AL1	12.0
FOXA1	PCDHGA9	12.0
IRF6	ARF1	12.0
MYCN	POP7	12.0
REL	IKBKE	12.0
PITX2	GFAP	-12.0
ZSCAN4	LAMTOR2	-12.0
PITX2	CCM2L	-12.0
RUNX2	LRRC59	-12.0
ETV6	CES1	-12.0
STAT1	F3	12.0
PRDM1	SAC3D1	-12.0
FOXA1	COL17A1	12.0
PITX2	TBC1D31	12.0
NFYB	NR2C2AP	12.0
CTCF	PPP1R14C	-12.0
IRF6	BORCS7	-12.0
RFX5	SERPINH1	-12.0
POU2F3	TSLP	-12.0
ARNTL	KIAA1683	-12.0
IRF6	SSTR1	-12.0
GATA2	PAPPA2	12.0
ELK4	ADGRF5	-12.0
IRF6	ZSWIM4	12.0
NR4A2	ADRM1	12.0
MYPOP	TUBA1C	12.0
CTCF	RELL2	-12.0
TCF3	ECE2	-12.0
HOXB3	RAN	12.0
NR2F1	LIPE	12.0
POU5F1B	MSH2	12.0
TCFL5	NASP	12.0
HOXB3	C19orf48	12.0
HLF	GINS2	-12.0
ZEB1	DOCK11	-12.0
HOXD4	OR2B6	-12.0
MYCN	TUBG1	12.0
PRDM1	CENPX	-12.0
TAL1	SOWAHD	12.0
IRF6	ZIC1	12.0
GATA5	CSRNP3	12.0
BHLHE40	MEMO1	-12.0
MAF	NECAB1	12.0
IRF6	VPS72	12.0
HINFP	SPP1	-12.0
CTCF	CHML	-12.0
MAF	CCDC80	12.0
HOXD4	ZNF106	12.0
GATA4	ARL15	12.0
SMAD1	NOTCH4	12.0
RELA	PRDM8	12.0
HLF	RFC4	-12.0
HOXB3	MRPS12	12.0
POU5F1B	DEPDC1	12.0
MAF	ABI3BP	12.0
NR2F1	CD34	12.0
MECP2	RBM43	12.0
ALX1	CRELD2	-12.0
PLAG1	ACADS	12.0
TFAP2A	LRFN4	12.0
RUNX2	GIPR	12.0
NR2F1	CCM2L	12.0
HOXD10	KIAA1456	12.0
ZIC2	SLC19A1	12.0
STAT2	STAT1	12.0
YBX1	ANO3	-12.0
ELF1	UQCC3	-12.0
SP4	SEMA6D	12.0
YBX1	CCDC137	12.0
MAF	DOCK11	12.0
SOX10	AREG	12.0
HOXB3	ALG3	12.0
CTCF	LGALS12	12.0
MAF	CYP4F12	12.0
TCFL5	CBX2	12.0
MAF	PRDM8	12.0
CTCF	SLC16A7	12.0
POU2F3	SLC2A6	12.0
POU5F1B	CENPA	12.0
FOXF1	SMG5	-12.0
REL	SMCO2	12.0
MYCN	RCOR2	12.0
KLF12	CCDC80	-12.0
MZF1	PGP	-12.0
CTCF	PPP1R14B	-12.0
CTCF	CLEC1A	12.0
BHLHE40	LIMS2	12.0
SOX6	SLC25A53	12.0
NR2F1	SQLE	-12.0
MAF	HNMT	12.0
TGIF2	HCAR1	12.0
ETV1	MCM7	12.0
CTCF	TSHZ2	12.0
MAFG	CD38	12.0
MECP2	SNRPA1	-12.0
NFE2L1	PLAU	12.0
POU5F1B	NEK2	12.0
IRF6	NDNF	-12.0
MAF	ARHGAP6	12.0
KLF5	TMSB10	12.0
RUNX2	GLIPR1L2	12.0
HOXA6	POLD1	-12.0
TFAP2A	VARS	12.0
CTCF	PCSK5	12.0
GATA4	PDE1A	12.0
