Regulator	Target	Weight
Hif1a	Fam102a	1.0
Klf10	Fam102a	1.0
Runx2	Fam102a	1.0
Batf	Fam114a1	1.0
Fosl2	Fam114a1	1.0
Klf10	Fam114a1	1.0
Rora	Fam114a1	1.0
Rorc	Fam114a1	1.0
Runx2	Fam114a1	1.0
Batf	Fam162a	1.0
Ets1	Fam162a	1.0
Klf10	Fam162a	1.0
Batf	Fam183b	1.0
Fosl2	Fam183b	1.0
Maf	Fam183b	1.0
Runx2	Fam20a	2.0
Ets1	Fam78a	1.0
Klf10	Fam78a	1.0
Klf10	Fbxo21	1.0
Klf10	Flot1	1.0
Runx2	Flot1	1.0
Klf10	Fosl2	1.0
Runx2	Fosl2	1.0
Ets1	Frmd4b	1.0
Runx2	Frmd4b	2.0
Klf10	Fscn1	-1.0
Nfkb2	Fscn1	1.0
Nfkbia	Fscn1	2.0
Nfkbib	Fscn1	2.0
Nfkbid	Fscn1	2.0
Runx2	Fscn1	-1.0
Sp6	Fscn1	1.0
Runx2	Fut8	-1.0
Sp6	Fut8	1.0
Fosl2	Fzd7	1.0
Hif1a	Fzd7	1.0
Klf10	Fzd7	1.0
Runx2	Gadd45g	1.0
Ets1	Gapdh	1.0
Klf10	Gapdh	1.0
Runx2	Gapdh	1.0
Batf	Gas2	1.0
Ets1	Gas2	1.0
Fosl2	Gas2	1.0
Hif1a	Gas2	1.0
Klf10	Gas2	1.0
Maf	Gas2	1.0
Rora	Gas2	1.0
Rorc	Gas2	1.0
Runx2	Gas2	2.0
Eomes	Gata3	1.0
Klf10	Gata3	-1.0
Sp6	Gata3	1.0
Batf	Gbe1	1.0
Ets1	Gbe1	1.0
Fosl2	Gbe1	1.0
Hif1a	Gbe1	1.0
Klf10	Gbe1	1.0
Maf	Gbe1	1.0
Rora	Gbe1	1.0
Rorc	Gbe1	1.0
Runx2	Gbe1	2.0
Ets1	Gcnt2	1.0
Klf10	Gcnt2	1.0
Runx2	Gcnt2	2.0
Fosl2	Gcnt4	1.0
Batf	Gem	1.0
Ets1	Gem	1.0
Fosl2	Gem	1.0
Klf10	Gem	1.0
Runx2	Gem	2.0
Batf	Gfra1	1.0
Fosl2	Gfra1	1.0
Maf	Gfra1	1.0
Runx2	Gfra1	1.0
Klf10	Gimap7	1.0
Rora	Gimap7	1.0
Rorc	Gimap7	1.0
Runx2	Gimap7	1.0
Nfkb2	Gja1	2.0
Sp6	Gja1	1.0
Eomes	Glipr1	1.0
Nfkb2	Glipr1	1.0
Runx2	Glipr1	-1.0
Sp6	Glipr1	1.0
Klf10	Gls2	1.0
Runx2	Gls2	1.0
Batf	Gm14005	1.0
Ets1	Gm14005	1.0
Fosl2	Gm14005	1.0
Klf10	Gm14005	1.0
Rora	Gm14005	1.0
Rorc	Gm14005	1.0
Runx2	Gm14005	2.0
Fosl2	Gm2a	1.0
Klf10	Gm2a	1.0
Ets1	Gmfg	1.0
Klf10	Gmfg	1.0
Runx2	Gmfg	2.0
Fosl2	Gnb5	1.0
Runx2	Gnb5	1.0
Klf10	Gpcpd1	-1.0
Sp6	Gpcpd1	1.0
Batf	Gpld1	1.0
Fosl2	Gpld1	1.0
Maf	Gpld1	1.0
Klf10	Gpr18	1.0
Runx2	Gpr18	1.0
Eomes	Gpr25	1.0
Nfkb2	Gpr25	1.0
Sp6	Gpr25	1.0
Ets1	Gpr68	1.0
Maf	Gpr68	1.0
Rora	Gpr68	1.0
Rorc	Gpr68	1.0
Runx2	Gpr68	1.0
Batf	Gprc5a	1.0
Ets1	Gprc5a	1.0
Fosl2	Gprc5a	1.0
Hif1a	Gpx1	-1.0
Sp6	Gpx1	1.0
Klf10	Grin1	1.0
Klf10	Gsn	1.0
Runx2	Gsn	2.0
Batf	Gstt1	1.0
Ets1	Gstt1	1.0
Fosl2	Gstt1	1.0
Maf	Gstt1	1.0
Eomes	Gtpbp8	1.0
Klf10	Gtpbp8	-1.0
Nfkb2	Gtpbp8	1.0
Nfkbia	Gtpbp8	1.0
Nfkbib	Gtpbp8	1.0
Nfkbid	Gtpbp8	1.0
Runx2	Gtpbp8	-1.0
Sp6	Gtpbp8	1.0
Klf10	Guca1a	1.0
Klf10	Gyk	-1.0
Nfkb2	Gyk	1.0
Runx2	Gyk	-1.0
Sp6	Gyk	1.0
Runx2	Gzmb	1.0
Klf10	H2-eb1	-1.0
Nfkb2	H2-eb1	1.0
Runx2	H2-eb1	-1.0
Sp6	H2-eb1	1.0
Ets1	H2-q10	1.0
Fosl2	H2-q10	1.0
Eomes	Heg1	1.0
Klf10	Heg1	-1.0
Nfkb2	Heg1	2.0
Nfkbia	Heg1	2.0
Nfkbib	Heg1	2.0
Nfkbid	Heg1	2.0
Runx2	Heg1	-1.0
Sp6	Heg1	1.0
Batf	Hif1a	1.0
Fosl2	Hif1a	1.0
Hif1a	Hif1a	1.0
Klf10	Hif1a	1.0
Rora	Hif1a	1.0
Rorc	Hif1a	1.0
Runx2	Hif1a	2.0
Fosl2	Hlx	1.0
Klf10	Hlx	1.0
Batf	Hopx	1.0
Ets1	Hopx	1.0
Fosl2	Hopx	1.0
Ets1	Icos	1.0
Runx2	Icos	1.0
Klf10	Id3	-1.0
Sp6	Id3	1.0
Eomes	Idi2	1.0
Klf10	Ier3	1.0
Runx2	Ier3	1.0
Runx2	Ifi203	-1.0
Klf10	Ifitm2	-1.0
Nfkbia	Ifitm2	2.0
Nfkbib	Ifitm2	2.0
Nfkbid	Ifitm2	2.0
Sp6	Ifitm2	1.0
Eomes	Ifng	1.0
Eomes	Ifngr2	1.0
Klf10	Ifngr2	-1.0
Nfkb2	Ifngr2	1.0
Nfkbia	Ifngr2	1.0
Nfkbib	Ifngr2	1.0
Nfkbid	Ifngr2	1.0
Runx2	Ifngr2	-1.0
Sp6	Ifngr2	1.0
Nfkb2	Igfbp7	2.0
Nfkbia	Igfbp7	1.0
Nfkbib	Igfbp7	1.0
Nfkbid	Igfbp7	1.0
Osr2	Igfbp7	1.0
Runx2	Igfbp7	-1.0
Sp6	Igfbp7	1.0
Sp6	Iigp1	1.0
Klf10	Ikbke	-1.0
Nfkb2	Ikbke	2.0
Nfkbia	Ikbke	1.0
Nfkbib	Ikbke	1.0
Nfkbid	Ikbke	1.0
Sp6	Ikbke	1.0
Fosl2	Il10	1.0
Batf	Il12rb2	1.0
Ets1	Il12rb2	1.0
Fosl2	Il12rb2	1.0
Runx2	Il12rb2	2.0
Batf	Il13ra1	1.0
Runx2	Il13ra1	1.0
Nfkb2	Il1rn	2.0
Sp6	Il1rn	1.0
Runx2	Il2	-1.0
Nfkb2	Il23a	1.0
Nfkbia	Il23a	1.0
Nfkbib	Il23a	1.0
Nfkbid	Il23a	1.0
Runx2	Il23a	-1.0
Sp6	Il23a	1.0
Batf	Il23r	1.0
Ets1	Il23r	1.0
Fosl2	Il23r	1.0
Maf	Il23r	1.0
Rora	Il23r	2.0
Rorc	Il23r	2.0
Runx2	Il23r	2.0
Batf	Il24	1.0
Ets1	Il24	1.0
Fosl2	Il24	1.0
Klf10	Il24	1.0
Rora	Il24	2.0
Rorc	Il24	2.0
Rora	Il2ra	2.0
Rorc	Il2ra	2.0
Runx2	Il2ra	1.0
Klf10	Il7r	1.0
Rora	Il7r	2.0
Rorc	Il7r	2.0
Runx2	Il7r	1.0
Batf	Impa2	1.0
Ets1	Impa2	1.0
Fosl2	Impa2	1.0
Klf10	Impa2	1.0
Runx2	Impa2	2.0
Klf10	Inf2	-1.0
Nfkb2	Inf2	2.0
Nfkbia	Inf2	1.0
Nfkbib	Inf2	1.0
Nfkbid	Inf2	1.0
Runx2	Inf2	-1.0
Sp6	Inf2	1.0
Eomes	Ipcef1	1.0
Klf10	Ipcef1	-1.0
Nfkb2	Ipcef1	2.0
Nfkbia	Ipcef1	1.0
Nfkbib	Ipcef1	1.0
Nfkbid	Ipcef1	1.0
Runx2	Ipcef1	-1.0
Sp6	Ipcef1	1.0
Ets1	Iqgap2	1.0
Klf10	Iqgap2	1.0
Runx2	Iqgap2	2.0
Klf10	Irf5	-1.0
Nfkb2	Irf5	2.0
Nfkbia	Irf5	2.0
Nfkbib	Irf5	2.0
Nfkbid	Irf5	2.0
Runx2	Irf5	-1.0
Sp6	Irf5	1.0
Klf10	Irf8	-1.0
Sp6	Irf8	1.0
Ets1	Itga3	1.0
Rora	Itga3	2.0
Rorc	Itga3	2.0
Ets1	Itga7	1.0
Fosl2	Itga7	1.0
Klf10	Itga7	1.0
Batf	Jarid2	1.0
Fosl2	Jarid2	1.0
Klf10	Jarid2	1.0
Rora	Jarid2	1.0
Rorc	Jarid2	1.0
Runx2	Jarid2	1.0
Batf	Jmjd1c	1.0
Fosl2	Jmjd1c	1.0
Klf10	Jmjd1c	1.0
Rora	Jmjd1c	1.0
Rorc	Jmjd1c	1.0
Runx2	Jmjd1c	2.0
Runx2	Jup	1.0
Klf10	Kcnk7	1.0
Klf10	Kctd11	1.0
Hif1a	Klf10	1.0
Klf10	Klf10	1.0
Fosl2	Klhl6	1.0
Runx2	Klhl6	1.0
Ets1	Klrc1	1.0
Maf	Klrc1	1.0
Batf	Klrd1	1.0
Ets1	Klrd1	1.0
Runx2	Klrd1	2.0
Batf	Klre1	1.0
Ets1	Klre1	1.0
Fosl2	Klre1	1.0
Runx2	Klre1	2.0
Ets1	Klrk1	1.0
Fosl2	Klrk1	1.0
Nfkb2	Lad1	2.0
Sp6	Lad1	1.0
Fosl2	Lama5	1.0
Klf10	Lama5	1.0
Sp6	Laptm4b	1.0
Runx2	Ldhb	-1.0
Sp6	Ldhb	1.0
Klf10	Lepre1	-1.0
Nfkb2	Lepre1	2.0
Sp6	Lepre1	1.0
Klf10	Lgals3	1.0
Runx2	Lgals3	1.0
Nfkbia	Lhfpl2	1.0
Nfkbib	Lhfpl2	1.0
Nfkbid	Lhfpl2	1.0
Runx2	Lhfpl2	-1.0
Sp6	Lhfpl2	1.0
Batf	Lime1	1.0
Ets1	Lime1	1.0
Runx2	Lime1	1.0
Batf	Lpxn	1.0
Klf10	Lpxn	1.0
Runx2	Lpxn	1.0
Klf10	Lrp1	1.0
Runx2	Lrp1	1.0
Klf10	Lrrc32	1.0
Runx2	Lrrc32	1.0
Fosl2	Lrrk1	1.0
Runx2	Lrrk1	2.0
Klf10	Lsp1	-1.0
Nfkb2	Lsp1	1.0
Sp6	Lsp1	1.0
Klf10	Lsr	1.0
Runx2	Lsr	1.0
Batf	Madd	1.0
Fosl2	Madd	1.0
Klf10	Madd	1.0
Runx2	Madd	1.0
Batf	Malt1	1.0
Ets1	Malt1	1.0
Fosl2	Malt1	1.0
Hif1a	Malt1	1.0
Klf10	Malt1	1.0
Rora	Malt1	1.0
Rorc	Malt1	1.0
Runx2	Malt1	1.0
Ets1	Maml2	1.0
Fosl2	Maml2	1.0
Hif1a	Maml2	1.0
Klf10	Maml2	1.0
Runx2	Maml2	1.0
Batf	Map3k1	1.0
Fosl2	Map3k1	1.0
Maf	Map3k1	1.0
Rora	Map3k1	1.0
Rorc	Map3k1	1.0
Klf10	Marcks	-1.0
Nfkb2	Marcks	1.0
Nfkbia	Marcks	1.0
Nfkbib	Marcks	1.0
Nfkbid	Marcks	1.0
Sp6	Marcks	1.0
Klf10	Marcksl1	-1.0
Nfkb2	Marcksl1	1.0
Sp6	Marcksl1	1.0
Klf10	Matk	1.0
Batf	Mboat2	1.0
Fosl2	Mboat2	1.0
Klf10	Mboat2	1.0
Ets1	Mcf2l	1.0
Fosl2	Mcf2l	1.0
Maf	Mcf2l	1.0
Runx2	Mcf2l	1.0
Runx2	Mctp2	2.0
Fosl2	Me2	1.0
Klf10	Me2	1.0
Maf	Me2	1.0
Runx2	Me2	1.0
Runx2	Med13l	1.0
Klf10	Mex3b	-1.0
Nfkbia	Mex3b	1.0
Nfkbib	Mex3b	1.0
Nfkbid	Mex3b	1.0
Sp6	Mex3b	1.0
Klf10	Mgmt	-1.0
Sp6	Mgmt	1.0
Runx2	Moxd1	2.0
Hif1a	Mpp2	1.0
Klf10	Mpp2	1.0
Batf	Mt1	1.0
Ets1	Mt1	1.0
Fosl2	Mt1	1.0
Klf10	Mt1	1.0
Maf	Mt1	1.0
Runx2	Mt1	2.0
Klf10	Mt2	1.0
Batf	Mt3	1.0
Maf	Mt3	1.0
Rora	Mt3	1.0
Rorc	Mt3	1.0
Nfkbia	Mtr	1.0
Nfkbib	Mtr	1.0
Nfkbid	Mtr	1.0
Sp6	Mtr	1.0
Klf10	Myh10	-1.0
Sp6	Myh10	1.0
Klf10	Myl4	1.0
Rora	Myl4	1.0
Rorc	Myl4	1.0
Runx2	Myl4	1.0
Ets1	Myo10	1.0
Fosl2	Myo10	1.0
Klf10	Myo10	1.0
Rora	Myo10	1.0
Rorc	Myo10	1.0
Runx2	Myo10	1.0
Batf	Myo1f	1.0
