regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior	precision	recall
manR	manA	20.0	20.0	0.965651430764	0.998504758599	1	0.872759856631	0.187019969278
czrA	czcD	-20.0	20.0	0.970736542545	0.998503040063	-1	0.872987477639	0.187403993856
comK	ssbB	20.0	20.0	0.971711811251	0.998500404973	1	0.873214285714	0.187788018433
fadR	ysiB	-20.0	20.0	0.979199765025	0.998500061266	-1	0.873440285205	0.188172043011
sigG	ypzG	20.0	20.0	0.970552603957	0.998497769884	0	0.871886120996	0.188172043011
sigD	yscB	20.0	20.0	0.971772926925	0.998495936778	1	0.872113676732	0.188556067588
ahrC	argG	-20.0	20.0	0.974250873813	0.998495020225	-1	0.872340425532	0.188940092166
mntR	mntH	-20.0	20.0	0.972953214015	0.998494676518	-1	0.872566371681	0.189324116743
phoP	pstS	20.0	20.0	0.96928814444	0.998487687802	1	0.872791519435	0.189708141321
sinR	epsE	-20.0	20.0	0.971016950121	0.998482761331	-1	0.873015873016	0.190092165899
exuR	yjmC	-20.0	20.0	0.973583530868	0.998480928225	-1	0.87323943662	0.190476190476
xpf	xkdV	20.0	20.0	0.993504695111	0.998479553396	0	0.871704745167	0.190476190476
sigG	gerKA	20.0	20.0	0.970738152668	0.998473710371	1	0.871929824561	0.190860215054
sigB	yjgC	20.0	20.0	0.982359587081	0.998473595802	1	0.872154115587	0.191244239631
purR	purN	-20.0	20.0	0.971791971953	0.998471877266	-1	0.872377622378	0.191628264209
ccpN	ykzW	-20.0	20.0	0.970807720601	0.998470273298	-1	0.87260034904	0.192012288786
araR	araQ	-20.0	20.0	0.975449428133	0.998458358111	-1	0.872822299652	0.192396313364
glnL	ybgJ	20.0	20.0	0.980320579418	0.998458128973	1	0.873043478261	0.192780337942
zur	adcB	-20.0	20.0	0.974450232378	0.998457670697	-1	0.873263888889	0.193164362519
sigD	fliG	20.0	20.0	0.975538983457	0.998452515087	1	0.873483535529	0.193548387097
comK	comGA	20.0	20.0	0.966588484008	0.998450452843	1	0.873702422145	0.193932411674
sigB	yocB	20.0	20.0	0.974262348444	0.998448619737	1	0.873920552677	0.194316436252
slrR	lytB	-20.0	20.0	0.974717723989	0.998447244908	-1	0.874137931034	0.194700460829
sigD	ylzI	20.0	20.0	0.97281248094	0.998445984648	0	0.872633390706	0.194700460829
lexA	yneB	-20.0	20.0	0.979829835428	0.998444609819	-1	0.872852233677	0.195084485407
rocR	rocB	20.0	20.0	0.965138398383	0.998442203867	1	0.873070325901	0.195468509985
fur	ykuO	-20.0	20.0	0.971515171545	0.998442089298	-1	0.873287671233	0.195852534562
araR	araP	-20.0	20.0	0.978372090908	0.998423414534	-1	0.873504273504	0.19623655914
purR	purK	-20.0	20.0	0.972025308776	0.998418029786	-1	0.873720136519	0.196620583717
ycbG	gudD	-20.0	20.0	0.969609699981	0.99841619668	-1	0.873935264055	0.197004608295
araR	araM	-20.0	20.0	0.966969398407	0.998415738404	-1	0.874149659864	0.197388632873
sigD	fliK	20.0	20.0	0.976709414844	0.998415509266	1	0.874363327674	0.19777265745
resD	albA	20.0	20.0	0.97261967526	0.998414478144	1	0.874576271186	0.198156682028
exuR	uxuA	-20.0	20.0	0.968868154193	0.998410926501	-1	0.874788494078	0.198540706605
yodB	yodC	-20.0	20.0	0.968983743219	0.99840989538	-1	0.875	0.198924731183
sigB	ycbP	20.0	20.0	0.969016834046	0.99840989538	1	0.87521079258	0.19930875576
purR	purM	-20.0	20.0	0.973726982517	0.998408978827	-1	0.875420875421	0.199692780338
sigW	yeaA	20.0	20.0	0.971269813671	0.998406687445	1	0.875630252101	0.200076804916
spoIVCB	yvdP	20.0	20.0	0.97791324876	0.998404052355	1	0.875838926174	0.200460829493
sinR	epsN	-20.0	20.0	0.973528563235	0.99840347951	-1	0.876046901173	0.200844854071
codY	frlD	-20.0	20.0	0.969156383455	0.998401760973	-1	0.876254180602	0.201228878648
purR	purH	-20.0	20.0	0.974282100216	0.998399813298	-1	0.876460767947	0.201612903226
spoIVCB	cotH	20.0	20.0	0.976901610835	0.998397521916	1	0.876666666667	0.201996927803
kipR	kipA	-20.0	20.0	0.970864639917	0.998397292778	-1	0.8768718802	0.202380952381
kipR	ycsI	-20.0	20.0	0.968520664599	0.998392710014	-1	0.87707641196	0.202764976959
sigD	yjfB	20.0	20.0	0.966516919622	0.998388814664	1	0.87728026534	0.203149001536
sigF	seaA	20.0	20.0	0.975725823908	0.99838549216	1	0.877483443709	0.203533026114
sigW	ydjP	20.0	20.0	0.968434536809	0.998385263022	1	0.877685950413	0.203917050691
lexA	uvrB	-20.0	20.0	0.970360474375	0.998379992843	-1	0.877887788779	0.204301075269
yuaC	opuBA	-20.0	20.0	0.964931379395	0.998377243184	-1	0.878088962109	0.204685099846
sigB	ydaE	20.0	20.0	0.984992315409	0.998375753786	1	0.878289473684	0.205069124424
zur	rpmE2	-20.0	20.0	0.970331233701	0.998373347835	-1	0.878489326765	0.205453149002
ftsR	ftsW	20.0	20.0	0.960703672782	0.998373347835	1	0.87868852459	0.205837173579
cymR	yxeO	-20.0	20.0	0.972992787049	0.9983701399	-1	0.878887070376	0.206221198157
sigL	levF	20.0	20.0	0.964168743571	0.998366015412	1	0.87908496732	0.206605222734
sigG	citM	-20.0	20.0	0.967207504068	0.998357766436	0	0.877650897227	0.206605222734
yvfI	yvbY	-20.0	20.0	0.966474718461	0.998347340648	-1	0.877850162866	0.206989247312
cymR	yxeM	-20.0	20.0	0.966289737779	0.998347111509	-1	0.878048780488	0.207373271889
comK	comFC	20.0	20.0	0.968805641386	0.998346080388	1	0.878246753247	0.207757296467
deoR	deoC	-20.0	20.0	0.969745125109	0.998342757883	-1	0.878444084279	0.208141321045
sigE	cotE	20.0	20.0	0.974701889413	0.998340237363	1	0.878640776699	0.208525345622
codY	frlN	-20.0	20.0	0.96547802625	0.998339206241	-1	0.878836833603	0.2089093702
ccpA	yjmC	-20.0	20.0	0.970283363997	0.998339091672	-1	0.879032258065	0.209293394777
padR	yveF	-20.0	20.0	0.978827127402	0.998337258566	-1	0.87922705314	0.209677419355
sigD	fliM	20.0	20.0	0.967572053529	0.998336685721	1	0.879421221865	0.210061443932
sinR	epsC	-20.0	20.0	0.968274767589	0.998336685721	-1	0.879614767255	0.21044546851
fur	feuB	-20.0	20.0	0.966768153678	0.998336456583	-1	0.879807692308	0.210829493088
sigF	katX	20.0	20.0	0.968659568856	0.998333134079	1	0.88	0.211213517665
sigE	scoB	20.0	20.0	0.9496149625	0.99832912416	1	0.880191693291	0.211597542243
fur	dhbF	-20.0	20.0	0.967169785973	0.998323624843	-1	0.88038277512	0.21198156682
sigW	yjoB	20.0	20.0	0.965275593442	0.998320989753	1	0.880573248408	0.212365591398
ahrC	argC	-20.0	20.0	0.960721823572	0.998317667249	-1	0.880763116057	0.212749615975
mhqR	ydfO	-20.0	20.0	0.969123691156	0.998317323542	-1	0.880952380952	0.213133640553
resD	cydB	20.0	20.0	0.963716330608	0.998315146729	1	0.881141045959	0.213517665131
fur	fhuC	-20.0	20.0	0.969421955969	0.99831503216	-1	0.881329113924	0.213901689708
sigB	yxzF	20.0	20.0	0.967813081104	0.99831251164	1	0.881516587678	0.214285714286
purR	purD	-20.0	20.0	0.97037048794	0.998309532843	-1	0.881703470032	0.214669738863
yuaC	opuBD	-20.0	20.0	0.962527810008	0.998308387152	-1	0.88188976378	0.215053763441
fur	feuC	-20.0	20.0	0.961365030533	0.998308043444	-1	0.882075471698	0.215437788018
araR	abnA	-20.0	20.0	0.971311658438	0.998306554046	-1	0.882260596546	0.215821812596
cssR	htrA	20.0	20.0	0.970925747515	0.998305408355	1	0.882445141066	0.216205837174
ccpA	yjmD	-20.0	20.0	0.968300498942	0.998304033526	-1	0.882629107981	0.216589861751
pucR	pucL	20.0	20.0	0.992824835861	0.998301627574	1	0.8828125	0.216973886329
sigE	yjmC	20.0	20.0	0.997769208277	0.99829830507	1	0.882995319813	0.217357910906
resD	albC	20.0	20.0	0.96666749599	0.99829578455	1	0.883177570093	0.217741935484
phoP	tuaF	20.0	20.0	0.995246004303	0.998294867997	1	0.883359253499	0.218125960061
fur	ybbA	-20.0	20.0	0.953486078175	0.998292805753	-1	0.883540372671	0.218509984639
exuR	yjmD	-20.0	20.0	0.970690502858	0.998288566696	-1	0.883720930233	0.218894009217
sigD	fliL	20.0	20.0	0.960087745794	0.998288452127	1	0.883900928793	0.219278033794
sigD	flgM	20.0	20.0	0.968952759841	0.998286275314	1	0.884080370943	0.219662058372
birA	yhfT	-20.0	20.0	0.968687118829	0.9982855879	0	0.882716049383	0.219662058372
sigV	yrhK	20.0	20.0	0.964128845123	0.998285015054	1	0.882896764253	0.220046082949
sigE	yjaV	20.0	20.0	0.965408373878	0.998283754794	1	0.883076923077	0.220430107527
spoIVCB	yoyG	20.0	20.0	0.969585252562	0.998281119704	0	0.881720430108	0.220430107527
lexA	dinB	-20.0	20.0	0.968871121346	0.998271954176	-1	0.881901840491	0.220814132104
sigD	ylxF	20.0	20.0	0.969745495894	0.998266913135	1	0.882082695253	0.221198156682
comK	comFB	20.0	20.0	0.961631138711	0.998265996583	1	0.882262996942	0.22158218126
xre	xkdB	-20.0	20.0	0.974084354799	0.998265996583	-1	0.882442748092	0.221966205837
sigD	fliH	20.0	20.0	0.968141502098	0.998261528387	1	0.88262195122	0.222350230415
spoIVCB	spoVIF	20.0	20.0	0.96471115717	0.99825866416	1	0.882800608828	0.222734254992
